date,open,close,high,low,volume,average,barCount
2019-09-19 14:00:00,27089.0,27082.0,27098.0,27078.0,975,27087.31333333333,479
2019-09-19 14:15:00,27082.0,27078.0,27082.0,27073.0,403,27078.39333333333,223
2019-09-19 14:30:00,27078.0,27053.0,27079.0,27048.0,913,27059.546666666665,482
2019-09-19 14:45:00,27053.0,27058.0,27063.0,27046.0,368,27054.41333333333,229
2019-09-19 15:00:00,27058.0,27032.0,27058.0,26991.0,4150,27024.066666666666,2526
2019-09-19 15:15:00,27034.0,27046.0,27052.0,27033.0,842,27041.21333333333,534
2019-09-19 15:30:00,27046.0,27080.0,27089.0,27046.0,1564,27067.96666666667,890
2019-09-19 15:45:00,27080.0,27092.0,27109.0,27075.0,1408,27087.05333333333,812
2019-09-19 16:00:00,27094.0,27082.0,27097.0,27072.0,1343,27084.346666666668,721
2019-09-19 16:15:00,27082.0,27085.0,27096.0,27071.0,722,27083.1,393
2019-09-19 16:30:00,27085.0,27105.0,27112.0,27083.0,824,27094.11333333333,534
2019-09-19 16:45:00,27106.0,27089.0,27107.0,27080.0,1470,27089.066666666666,668
2019-09-19 17:00:00,27090.0,27092.0,27107.0,27084.0,978,27094.73333333333,533
2019-09-19 17:15:00,27092.0,27090.0,27097.0,27078.0,892,27090.83333333333,500
2019-09-19 17:30:00,27089.0,27080.0,27094.0,27072.0,696,27084.71333333333,421
2019-09-19 17:45:00,27079.0,27075.0,27082.0,27067.0,511,27074.32666666667,325
2019-09-19 18:00:00,27075.0,27088.0,27095.0,27073.0,390,27087.87333333333,254
2019-09-19 18:15:00,27087.0,27081.0,27088.0,27077.0,269,27082.05333333333,185
2019-09-19 18:30:00,27081.0,27071.0,27084.0,27064.0,471,27073.18,277
2019-09-19 18:45:00,27069.0,27068.0,27081.0,27067.0,480,27074.82,257
2019-09-19 19:00:00,27067.0,27086.0,27087.0,27066.0,509,27076.64666666667,319
2019-09-19 19:15:00,27083.0,27103.0,27108.0,27083.0,727,27094.94000000001,409
2019-09-19 19:30:00,27103.0,27098.0,27104.0,27096.0,598,27100.09333333333,323
2019-09-19 19:45:00,27098.0,27100.0,27110.0,27097.0,468,27102.153333333332,282
2019-09-19 20:00:00,27101.0,27118.0,27126.0,27096.0,1374,27105.24,663
2019-09-19 20:15:00,27119.0,27132.0,27137.0,27112.0,1216,27127.84,593
2019-09-19 20:30:00,27132.0,27146.0,27148.0,27129.0,1571,27140.51333333333,768
2019-09-19 20:45:00,27146.0,27192.0,27200.0,27145.0,2512,27176.993333333336,1345
2019-09-19 21:00:00,27192.0,27184.0,27204.0,27181.0,1730,27192.7,865
2019-09-19 21:15:00,27184.0,27184.0,27189.0,27176.0,1339,27182.92,703
2019-09-19 21:30:00,27184.0,27199.0,27243.0,27177.0,11201,27207.66666666667,5818
2019-09-19 21:45:00,27199.0,27205.0,27215.0,27184.0,3875,27199.206666666665,2156
2019-09-19 22:00:00,27204.0,27210.0,27214.0,27185.0,3868,27201.11333333334,2157
2019-09-19 22:15:00,27210.0,27219.0,27247.0,27208.0,5254,27228.68,2370
2019-09-19 22:30:00,27220.0,27234.0,27255.0,27220.0,4463,27239.6,1975
2019-09-19 22:45:00,27234.0,27201.0,27234.0,27194.0,3001,27221.07333333333,1486
2019-09-19 23:00:00,27200.0,27207.0,27211.0,27190.0,2190,27200.95333333333,1166
2019-09-19 23:15:00,27207.0,27230.0,27239.0,27204.0,2196,27225.1,1093
2019-09-19 23:30:00,27230.0,27231.0,27262.0,27227.0,3283,27245.033333333336,1531
2019-09-19 23:45:00,27231.0,27231.0,27236.0,27216.0,2016,27225.21333333333,1055
2019-09-20 00:00:00,27233.0,27229.0,27240.0,27221.0,1649,27230.23333333333,867
2019-09-20 00:15:00,27229.0,27171.0,27229.0,27166.0,2982,27205.61333333333,1625
2019-09-20 00:30:00,27170.0,27199.0,27202.0,27163.0,2888,27186.2,1327
